Naam;lat;lon
Casino Supermarché;46.36996667;6.477511497
Super U;46.10876199;6.583824612
Intermarché SUPER Praz Sur Arly;45.84017545;6.582129222
Super U Bourg-Saint-Maurice;45.62376636;6.782253595
Intermarché SUPER Fourneaux;45.1909605;6.644282907
Sherpa Supermarché Monêtier-les-Bains Rue des Glaciers;44.97628105;6.507120631
Proxi Jausiers;44.41936273;6.734495423
Proxi;44.25597098;6.925923435
Proxi;43.87774943;7.447657747
Intermarché SUPER Cantaron;43.77814133;7.336644399
Carrefour Market Guillestre;44.660468324327766;6.65291517039654
Carrefour Market Saint-Michel-De-Maurienne;45.21701839079456;6.473198584650389
Intermarché CONTACT Villard-Sur-Doron;45.727330578431626;6.533481154113147
Spar;45.973820139039056;6.4538373011386465
Aldi;44.88385249456527;6.6259711045091185
U Express;43.76403431030373;7.481496646093926
Intermarché SUPER Cantaron;43.77813109409289;7.336641912201305
8 à huit;44.070631546519586;7.25468877289202
CARREFOUR MONTAGNE DES SAISIES;45.75696170276217;6.538945966015991
