Naam;lat;lon
Fontein;46.369389;6.474661
Fontein;46.195748;6.684122
Fontein;46.107566;6.592023
Fontein;46.060129;6.580223
WC;45.942352;6.427915
WC;45.973611;6.454332
WC;45.873058;6.463039
Fontein;45.862617;6.495099
Fontein;45.818571;6.515785
Fontein;45.716827;6.576041
Fontein;45.69494;6.633122
Fontein;45.448727;6.980438
Fontein;45.37403;7.052691
Fontein;45.290422;6.912797
Fontein;45.285287;6.875693
WC;45.275931;6.813596
WC;45.207919;6.73693
WC;45.192885;6.656547
Fontein;45.202573;6.4447
Fontein;45.163918;6.422848
Fontein;45.035033;6.404807
Fontein;44.976048;6.509452
Fontein;44.887203;6.638818
Fontein;44.868348;6.721186
Fontein;44.791947;6.731433
Fontein;44.767124;6.738513
Fontein;44.608266;6.688561
Fontein;44.569922;6.682472
Fontein;44.514878;6.751131
Fontein;44.08358;7.105032
WC;44.070667;7.222494
Fontein;43.976954;7.391793
Fontein;43.940782;7.412901
Fontein;43.877214;7.450039
Fontein;43.775161;7.508175
